,purity,silhouette,homogeneity,completeness,features num,model,AVG
0,0.25052950075642966,0.5180607637949326,0.158968992616918,0.1784003436170018,10,KMeans,0.2764899001963205
1,0.25476550680786686,0.46567770448054985,0.16447340892212609,0.18027303586820137,10,AgglomerativeClustering,0.26629741401968604
2,0.2556732223903177,0.4010288641616677,0.1490513443250446,0.17810918229180878,10,GaussianMixture,0.2459656532922097
3,0.2723146747352496,0.4604033544822089,0.17742751274516555,0.19140391054313305,20,KMeans,0.2753873631264393
4,0.26505295007564295,0.44439320053107023,0.16914866417682384,0.1856448865111162,20,AgglomerativeClustering,0.2660599253236633
5,0.24024205748865354,0.23003050574550182,0.15799832025413973,0.1695615093481167,20,GaussianMixture,0.19945809820910293
6,0.2708018154311649,0.4433288082006581,0.17520346106293785,0.1881373606894553,30,KMeans,0.26936786134605406
7,0.2714069591527988,0.43723589045463657,0.17110020894595052,0.18263146013681203,30,AgglomerativeClustering,0.26559362967254946
8,0.2124054462934947,0.11264200035081134,0.12695999309636177,0.13457498813759033,30,GaussianMixture,0.14664560696956452
9,0.2526475037821483,0.374933031369251,0.1571825706157403,0.17818597435454786,50,KMeans,0.24073727003042183
10,0.24659606656580937,0.3855072313872959,0.15445967510675548,0.18226973908449412,50,AgglomerativeClustering,0.2422081780360887
11,0.22239031770045387,0.10065619566740243,0.13064721943647833,0.1400152509625674,50,GaussianMixture,0.14842724594172552
12,0.2580937972768533,0.29700992579776747,0.16699040077008342,0.19589712753455965,100,KMeans,0.22949781284481596
13,0.2741301059001513,0.2593233052569857,0.17103015738294736,0.19732751786898153,100,AgglomerativeClustering,0.22545277160226646
14,0.2671709531013616,0.00645433468262491,0.16792122190770975,0.1744376061181127,100,GaussianMixture,0.15399602895245224
15,0.24236006051437217,0.28212684222185735,0.15165549510221743,0.1800666445436584,150,KMeans,0.21405226059552634
16,0.2747352496217852,0.22855337570679105,0.16651490095609112,0.19246819091602255,150,AgglomerativeClustering,0.21556792930017246
17,0.25113464447806355,-0.007015578193476272,0.16659514217981922,0.18262618357000374,150,GaussianMixture,0.14833509800860253
18,0.27927382753403934,0.2759818269161738,0.1921140899850922,0.20508395630732157,200,KMeans,0.2381134251856567
19,0.24841149773071106,0.2356142130080442,0.15687238799890407,0.17557176467680327,200,AgglomerativeClustering,0.20411746585361565
20,0.2638426626323752,-0.06396051902881891,0.17636562466533595,0.2040845520607449,200,GaussianMixture,0.14508308008240928
21,0.25900151285930406,0.2912059770254416,0.16822710707888955,0.1828989541929411,300,KMeans,0.22533338778914408
22,0.2562783661119516,0.2468043670844911,0.17018513891662393,0.18761068627066996,300,AgglomerativeClustering,0.21521963959593415
23,0.23479576399394855,-0.08343198076126566,0.15840890148085862,0.18243347274319055,300,GaussianMixture,0.123051539364183
24,0.2777609682299546,0.29950961177926144,0.18111119108165152,0.19620084323987796,400,KMeans,0.2386456535826864
25,0.27382753403933435,0.2532280395134635,0.16680678143283426,0.18562043886460242,400,AgglomerativeClustering,0.21987069846255863
26,0.2665658093797277,0.025594085135679772,0.1847218015508485,0.19498770141634028,400,GaussianMixture,0.16796734937064906
27,0.27049924357034794,0.3410361836879688,0.18601421965906106,0.2040307266842205,500,KMeans,0.25039509340039956
28,0.25234493192133134,0.2494689916970886,0.1691232617404224,0.18387431734412407,500,AgglomerativeClustering,0.2137028756757416
29,0.2556732223903177,0.02067077773141601,0.16963639911745731,0.19058874893486902,500,GaussianMixture,0.159142287043515
30,0.22148260211800302,0.2693772507544047,0.14368843827281602,0.1530321719277089,550,KMeans,0.19689511576823315
31,0.23388804841149774,0.2500104994570179,0.1519394215313101,0.1604678308246823,550,AgglomerativeClustering,0.19907645005612704
32,0.2329803328290469,-0.020789077138163414,0.15218361584629947,0.16214419979849068,550,GaussianMixture,0.13162976783391844
33,0.2653555219364599,0.30675650868550913,0.17915050475192448,0.1944367331117759,600,KMeans,0.23642481712141733
34,0.24931921331316187,0.2670745035740239,0.16651082357185887,0.17650439019870762,600,AgglomerativeClustering,0.21485223266443804
35,0.2481089258698941,0.0013558188787838993,0.16957146286095007,0.18706303825539364,600,GaussianMixture,0.15152481146625543
